mb_release_title,local_folder_path,local_title,local_track_count,match_status,fix_note
10 najpiękniejszych polskich kolęd,Urszula/Album/2002 - 10 najpiekniejszych polskich koled,10 najpiękniejszych polskich kolęd,10,COMPLETE,"Partial fix: move all sibling folders under one common parent folder (e.g. 'Artist/Album/<compilation name>/<volume folder>'), then rebuild that artist (re-match from scratch) so tidy's box pass can discover them as a sibling group. Only fixes it if MusicBrainz has a matching multi-medium edition to bind against - if not, box pass will leave it honestly UNMATCHED instead of wrongly MISSING_TRACKS/EXTRA_TRACKS (still an improvement, not a full fix). See docs/specs/spec_tidy_observations.md."
10 najpiękniejszych polskich kolęd,Urszula/Album/2005 - Urszula kolęduje z Poznańskim Chórem Chłopięcym,Urszula Koleduje Z Poznanskim Chorem Chlopiecym,10,MISSING_TRACKS,
1970-1976,"The Movers/Album/1975 - The Greatest Hits, Vol. 9",Greatest Hits Volume 9,12,MISSING_TRACKS,
1970-1976,The Movers/Album/2005 - Township Jive! - The Hits,Township Jive! - The Hits,11,MISSING_TRACKS,
1979-1986: Minnenas sorl,Hansson De Wolfe United/Album/1984 - Container,Container,8,MISSING_TRACKS,
1979-1986: Minnenas sorl,Hansson De Wolfe United/Album/1985 - Artattack,Artattack,10,MISSING_TRACKS,
1979-1986: Minnenas sorl,Hansson De Wolfe United/Album/1990 - Minnenas Sorl (1979-1986),1979-1986: Minnenas sorl,16,COMPLETE,
1997–2001 at Mushroom,LSD March/Album/2001 - 1997-2001 at Mushroom,1997-2001 at Mushroom,8,COMPLETE,
1997–2001 at Mushroom,LSD March/Album/2004 - 漏刻の炎・凛然・雨・嵐の青春,1997-2001 At Mushroom,4,MISSING_TRACKS,
2:00am in LA,Jake Miller/Album/2017 - 2-00am In LA,2:00am in LA,10,COMPLETE,
2:00am in LA,Jake Miller/EP/2017 - 2.00am in LA (Acoustic),2.00am in LA (Acoustic),5,MISSING_TRACKS,
26 Letters 12 Notes,Dave Mason/Album/2008 - 26 Letters 12 Notes,26 Letters 12 Notes,12,COMPLETE,
26 Letters 12 Notes,Dave Mason/Album/2017 - Pink Lipstick,Pink Lipstick,6,MISSING_TRACKS,
26 Letters 12 Notes,Dave Mason/EP/2017 - Pink Lipstick (EP),Pink Lipstick,6,MISSING_TRACKS,
5=2+3+4x12″,Purwien/Album/2021 - 5​=​2​+​3​+​4x12'' (Purwien & Kowa),"5=2+3+4x12""",20,COMPLETE,
5=2+3+4x12″,Purwien/EP/2021 - Nochmal EP (Purwien & Kowa),Nochmal EP,6,MISSING_TRACKS,
A Arte e a Música de Paulo de Carvalho,Paulo De Carvalho/Album/1980 - Até Me Dava Jeito,Até Me Dava Jeito...,10,MISSING_TRACKS,
A Arte e a Música de Paulo de Carvalho,Paulo De Carvalho/Album/1982 - A Arte E A Música De Paulo De Carvalho,A Arte e a Música de Paulo de Carvalho,23,COMPLETE,
